329,杉田,15164
330,笠原,15042
331,滝沢,15039
332,村井,15032
333,三木,14987
334,須田,14856
335,梅田,14810
336,野中,14760
337,大竹,14648
338,堀江,14605
339,金沢,14486
340,川端,14472
341,梶原,14374
342,大村,14365
343,日高,14212
344,岸,14185
345,西本,14049
346,向井,13872
347,藤沢,13745
348,川原,13656
349,広田,13650
350,大木,13628
351,井口,13603
352,榊原,13591
353,竹中,13583
354,藤川,13507
355,安井,13496
356,吉本,13457
357,大場,13447
358,松島,13434
359,吉原,13283
360,大内,13267
361,竹下,13267
362,藤岡,13263
363,庄司,13222
364,福本,13161
365,小谷,13135
366,谷川,13063
367,竹本,13013
368,奥山,13010
369,宇野,12996
370,藤村,12993
371,塚田,12958
372,北野,12923
373,宮内,12921
374,下田,12893
375,緒方,12883
376,高島,12864
377,窪田,12794
378,柳沢,12737
379,石黒,12701
380,栗田,12663
381,亀井,12538
382,平川,12443
383,山村,12426
384,藤野,12410
385,宮沢,12393
386,長野,12389
387,下村,12350
388,丹羽,12347
389,三輪,12336
390,川本,12328
391,宮原,12327
392,嶋田,12305
393,茂木,12273
394,出口,12236
395,高井,12218
396,古谷,12184
397,竹村,12155
398,長島,12153
399,荻野,11979
400,青柳,11971
401,小森,11949
402,田原,11782
403,大田,11732
404,吉沢,11723
405,稲田,11704
406,高瀬,11633
407,筒井,11614
408,福岡,11610
409,溝口,11601
410,横井,11584
411,林田,11537
412,大平,11507
413,大城,11487
414,福永,11472
415,奥野,11415
416,平松,11383
417,大原,11373
418,黒沢,11359
419,富永,11326
420,長岡,11315
421,宮城,11292
422,山岡,11288
423,篠崎,11240
424,北原,11235
425,永野,11188
426,越智,11170
427,金城,11170
428,鶴田,11099
429,浅田,11068
430,入江,11066
431,柳田,11057
432,武井,10959
433,原口,10951
434,園田,10916
435,湯浅,10897
436,堀川,10877
437,石山,10840
438,相馬,10827
439,二宮,10770
440,高松,10755
441,瀬戸,10728
442,手塚,10686
443,臼井,10658
444,川野,10656
445,長沢,10622
446,浜口,10567
447,小出,10556
448,平岡,10552
449,谷本,10545
450,池上,10544
451,西沢,10537
452,沼田,10527
453,篠田,10518
454,花田,10502
455,石崎,10482
456,比嘉,10408
457,冨田,10408
458,杉原,10396
459,日野,10384
460,田畑,10336
461,笠井,10292
462,西原,10284
463,根岸,10233
464,片桐,10233
465,堀口,10189
466,志村,10181
467,加納,10162
468,小坂,10143
469,深沢,10134
470,倉田,10132
471,千田,10129
472,大槻,10075
473,福原,10072
474,松野,10033
475,野沢,10028
476,新谷,10021
477,河原,10004
478,村瀬,10002
479,田上,9987
480,菅,9946
481,徳田,9944
482,森岡,9927
483,柏木,9902
484,矢島,9885
485,吉井,9821
486,相沢,9734
487,島崎,9655
488,畑中,9607
489,中本,9606
490,三谷,9603
491,白川,9585
492,北島,9520
493,浜崎,9518
494,内海,9503
495,岩瀬,9495
496,小柳,9458
497,大崎,9450
498,秋田,9388
499,浜野,9352
500,木原,9310
501,大井,9304
502,秋元,9303
503,米山,9252
504,福山,9250
505,川畑,9246
506,井手,9182
507,辻本,9177
508,難波,9176
509,小澤,9158
510,岩下,9082
511,坪井,9051
512,芳賀,9048
513,吉永,9013
514,植木,8978
515,河内,8968
516,三井,8942
517,長井,8920
518,今泉,8917
519,岸田,8904
520,磯部,8880
521,塩田,8879
522,皆川,8879
523,大坪,8872
524,畑,8864
525,川瀬,8855
526,荻原,8834
527,植村,8811
528,細谷,8796
529,細田,8772
530,佐竹,8771
531,橋口,8748
532,若松,8739
533,大友,8739
534,古屋,8715
535,三村,8700
536,遠山,8688
537,村岡,8660
538,松川,8585
539,三島,8557
540,平林,8536
541,河田,8533
542,井出,8512
543,真鍋,8503
544,栗山,8485
545,草野,8473
546,相原,8456
547,小嶋,8420
548,澤田,8395
549,橘,8392
550,有馬,8391
551,堀井,8390
552,瀬川,8386
553,平,8359
554,奈良,8343
555,玉井,8332
556,亀山,8314
557,早坂,8312
558,志賀,8300
559,水口,8295
560,高村,8276
561,高岡,8253
562,川合,8245
563,保坂,8245
564,立石,8229
565,清野,8197
566,半田,8178
567,渡邊,8151
568,朝倉,8139
569,神山,8126
570,河本,8109
571,藤森,8108
572,水上,8101
573,葛西,8099
574,寺島,8089
575,高見,8084
576,中里,8083
577,亀田,8063
578,進藤,8053
579,武内,8030
580,織田,8026
581,柳,8023
582,尾形,7953
583,那須,7930
584,有田,7920
585,狩野,7919
586,宮地,7917
587,江藤,7899
588,寺本,7898
589,松沢,7890
590,藤崎,7883
591,大江,7882
592,大津,7875
593,宮島,7866
594,三原,7856
595,毛利,7854
596,島村,7832
597,坂下,7828
598,北山,7827
599,市村,7826
600,植松,7792
601,土居,7778
602,高原,7745
603,下山,7736
604,高柳,7729
605,松木,7714
606,三橋,7673
607,板垣,7673
608,大沼,7672
609,久野,7645
610,長谷,7640
611,門脇,7630
612,野上,7584
613,坂上,7575
614,立花,7558
615,木内,7531
616,浅見,7509
617,平尾,7496
618,滝本,7462
619,田崎,7375
620,深谷,7349
621,牧,7347
622,中根,7332
623,岩佐,7319
624,市原,7314
625,岩永,7304
626,米沢,7301
627,前原,7299
628,川井,7296
629,内野,7279
630,高尾,7269
631,阪本,7262
632,今田,7247
633,和泉,7239
634,柴崎,7226
635,守屋,7199
636,関谷,7182
637,石丸,7177
638,長瀬,7162
639,山野,7158
640,大倉,7150
641,外山,7085
642,飯野,7038
643,小宮,7035
644,小寺,7032
645,西谷,7015
646,矢部,7013
647,塚原,7006
648,鳥居,7003
649,金山,6997
650,島,6997
